listing_id,tiene_cochera,m2,banos,ingreso_zona,estado,tipo_vivienda,barrio,codigo_postal,mes_venta,anio_alta,precio,dias_para_vender,dias_reales,visitas_semana,se_vendio,segmento,tiene_pileta,apto_credito,a_reciclar
271195,False,102,2,113736,muy bueno,departamento,barrio_27,1017,7,1981,352432,52,52,6,1,economica,0,0,1
916831,False,35,1,17201,excelente,duplex,barrio_15,1022,7,1950,278612,72,72,3,0,economica,0,0,1
951972,False,162,1,31383,muy bueno,casa,barrio_45,1018,8,1971,482470,73,73,1,0,premium,1,1,1
199237,False,45,1,59884,muy bueno,duplex,barrio_58,1012,10,1979,228560,85,85,0,1,economica,0,0,1
538038,True,110,3,18842,muy bueno,casa,barrio_15,1012,7,2019,413319,77,77,5,0,media,0,1,0
911684,True,109,2,129803,excelente,casa,barrio_46,1036,11,2008,537801,56,56,17,1,premium,0,1,0
434757,False,105,2,38584,bueno,PH,barrio_15,1027,4,1960,319547,96,96,0,0,economica,1,0,0
193715,False,78,2,52506,bueno,duplex,barrio_43,1003,10,1950,340161,87,87,0,0,economica,0,0,1
906654,True,124,1,29317,bueno,PH,barrio_47,1038,5,1987,394973,82,82,2,1,media,0,1,0
361650,True,40,2,61511,bueno,casa,barrio_26,1028,8,1987,291316,65,65,0,0,economica,0,1,1
897130,True,93,2,128417,bueno,casa,barrio_44,1002,6,2002,354103,28,28,1,0,economica,0,1,0
443758,True,75,3,32695,muy bueno,departamento,barrio_16,1029,11,1968,366700,63,63,3,1,media,1,1,0
877856,True,71,1,144896,regular,departamento,barrio_04,1023,4,2007,265331,101,101,0,0,economica,0,1,1
645714,True,110,3,22264,excelente,duplex,barrio_05,1036,7,1979,451500,79,79,2,0,premium,1,0,0
972918,True,133,1,66922,bueno,departamento,barrio_26,1019,2,1973,419157,79,79,1,1,media,0,1,0
472794,False,83,2,53707,regular,casa,barrio_54,1020,8,1979,301879,123,123,0,0,economica,1,1,0
441415,False,122,2,15446,regular,duplex,barrio_07,1012,1,2017,379947,72,72,1,0,media,0,1,0
168174,False,97,3,43090,bueno,casa,barrio_27,1012,5,1977,359652,83,83,1,1,media,0,0,1
229561,False,64,2,36530,bueno,casa,barrio_42,1024,1,1989,304956,104,104,1,0,economica,0,0,1
817153,True,86,1,18351,regular,departamento,barrio_12,1033,4,2013,377335,79,79,1,0,media,0,1,1
461670,True,85,2,48359,bueno,departamento,barrio_43,1035,6,1951,297471,93,93,1,0,economica,0,0,1
431631,False,71,2,40824,bueno,PH,barrio_18,1030,4,1988,351756,59,59,2,0,economica,0,0,1
630045,False,110,2,34267,bueno,duplex,barrio_48,1024,5,2000,392761,55,55,1,0,media,1,1,1
564903,False,103,1,34377,bueno,duplex,barrio_34,1020,2,2014,431808,52,52,5,1,media,1,0,0
992889,False,39,1,33792,bueno,departamento,barrio_32,1013,9,1954,221287,99,99,1,0,economica,0,0,1
834758,False,37,2,27061,bueno,duplex,barrio_10,1030,10,2001,274124,68,68,4,1,economica,0,1,0
669735,False,110,1,40614,regular,PH,barrio_27,1012,6,2006,345497,70,70,1,0,economica,0,0,1
109426,False,66,2,21696,regular,casa,barrio_51,1010,1,1974,303075,96,96,0,0,economica,0,0,1
441764,False,106,1,304202,bueno,duplex,barrio_01,1034,1,2002,330678,91,91,2,0,economica,0,1,1
681168,True,122,3,11761,muy bueno,casa,barrio_45,1023,9,1985,437715,76,76,2,1,media,1,1,0
866665,True,51,1,22748,excelente,PH,barrio_29,1014,12,1996,360229,48,48,7,1,media,0,1,0
394639,True,46,2,24231,excelente,duplex,barrio_43,1034,11,1977,355484,51,51,5,0,economica,1,1,1
748466,True,154,3,185794,bueno,casa,barrio_39,1038,5,1962,521679,74,74,0,0,premium,1,0,1
