ListingId,LotArea,OverallQual,OverallCond,TotalBsmtSF,FullBath,HalfBath,BedroomAbvGr,TotRmsAbvGrd,Fireplaces,GarageArea,YearBuilt,LotFrontage,MonthSold,State,District,HouseStyle,CentralAir,SaleCondition,SalePrice
677742,8450,7,5,856,2,1,3,8,0,548,1970,64,7,IL,Larkspur,Townhouse,N,Normal,172700
551423,9600,6,8,1262,2,0,3,6,1,460,1935,73,11,CA,Greenfield,2Story,Y,Normal,369700
237268,11250,7,5,920,2,1,3,6,1,608,1949,80,9,AZ,Fernwood,1Story,Y,Normal,165700
579284,9550,7,5,756,1,0,3,7,1,642,1924,72,7,FL,Stonegate,2Story,Y,Normal,164300
598125,14260,8,5,1145,2,1,4,9,1,836,1951,87,2,NC,Xavier Park,Loft,Y,Normal,283700
357413,14115,5,5,796,1,1,1,5,0,480,1944,87,8,FL,Stonegate,Townhouse,Y,Alloca,106200
321696,10084,8,5,1686,2,0,3,7,1,636,1949,69,8,WA,Vinehill,2Story,Y,Normal,267100
373932,10382,7,6,1107,2,1,3,7,2,484,1971,77,5,OH,Pembroke,2Story,Y,Normal,173000
747888,6120,7,5,952,2,0,2,8,2,468,1953,41,8,CO,Belmont,2Story,Y,Partial,288500
907357,7420,5,6,991,1,0,2,5,2,205,1938,67,5,CO,Clearwater,Ranch,Y,Normal,196000
454266,11200,5,5,1040,1,0,3,5,0,384,1953,67,4,MA,Pinecrest,SplitLevel,Y,Normal,181200
919746,11924,9,5,1175,3,0,4,11,2,736,1976,73,11,IL,Jasper Flats,Ranch,Y,Partial,489900
288787,12968,5,6,912,1,0,2,4,0,352,1916,79,4,FL,Redstone,2Story,N,Normal,162000
439322,10652,7,5,1494,2,0,3,7,1,840,1947,66,1,TX,Granite Hills,Ranch,Y,Partial,252400
427513,10920,6,5,1253,1,1,2,5,1,352,1937,59,5,IN,Underhill,1Story,Y,Normal,114700
788691,6120,7,8,832,1,0,2,5,0,576,1945,59,6,WA,Union Heights,2Story,Y,Normal,274300
535722,11241,6,7,1004,1,0,2,5,1,480,1944,,8,MA,Pinecrest,2Story,N,Abnorml,210900
956967,10791,4,5,0,2,0,2,6,0,516,1919,68,10,CO,Glenmoor,1Story,Y,Family,129300
890083,13695,5,5,1114,1,1,3,6,0,576,1936,81,11,NC,Trellis Park,1Story,Y,Partial,150200
263678,7560,5,6,1029,1,0,3,6,0,294,1925,56,8,FL,Quinton,SplitLevel,Y,Normal,151700
806645,14215,8,5,1158,3,1,4,9,1,853,1965,81,1,CA,Cedar Park,1Story,N,Normal,376800
999685,7449,7,7,637,1,0,3,6,1,280,1941,65,1,TX,Highpoint,1Story,Y,Normal,171300
607790,9742,8,5,1777,2,0,3,7,1,534,1966,77,8,IN,Willowbrook,Loft,Y,Normal,257600
446361,4224,5,7,1040,1,0,3,6,1,572,1928,38,3,WA,Westbrook,Townhouse,Y,Normal,161600
846230,8246,5,8,1060,1,0,3,6,1,270,1949,56,1,CO,Belmont,1Story,Y,Normal,175900
693364,14230,8,5,1566,2,0,3,7,1,890,1970,95,2,WA,Thornbury,2Story,Y,Normal,396500
335273,7200,5,7,900,1,0,3,5,0,576,1950,68,9,OH,Pembroke,1Story,Y,Normal,112500
389224,11478,8,5,1704,2,0,3,7,1,772,1969,70,11,CA,Northgate,2Story,Y,Normal,454600
610011,16321,5,6,1484,1,0,2,6,2,319,1931,94,8,FL,Quinton,SplitLevel,Y,Normal,197900
872218,6324,4,6,520,1,0,1,4,0,240,1955,65,7,WA,Union Heights,1Story,N,Partial,133500
656528,8500,4,4,649,1,0,3,6,0,250,1925,64,4,IL,Larkspur,1Story,Y,Normal,125500
676389,8544,5,6,1228,1,1,3,6,0,271,1936,,9,FL,Prairie View,1Story,Y,Normal,147900
326974,11049,8,5,1234,2,0,3,7,0,484,1941,69,1,NC,Wheatfield,Ranch,Y,Normal,223300
375296,10552,5,5,1398,1,1,4,6,1,447,1932,79,8,OH,Norwood,Ranch,N,Partial,150100
103437,7313,9,5,1561,2,0,2,6,1,556,1970,44,6,OH,Overlook,Townhouse,Y,Normal,284700
751906,13418,8,5,1117,3,1,4,9,1,691,1979,81,10,CO,Glenmoor,1Story,Y,Partial,449100
869077,10859,5,5,1097,1,1,3,6,0,672,1945,77,6,NC,Valley Forge,2Story,Y,Partial,165500
602086,8532,5,6,1297,1,0,3,5,1,498,1916,65,10,TX,Granite Hills,Loft,Y,Abnorml,113100
447529,7922,5,7,1057,1,0,3,5,0,246,1933,57,11,IN,Willowbrook,1Story,N,Normal,113700
948006,6040,4,5,0,2,0,2,6,0,0,1927,64,10,IN,Verdant Oaks,SplitLevel,N,Normal,62300
110518,8658,6,5,1088,2,0,3,6,1,440,1940,63,7,TX,Lindenwood,Ranch,Y,Normal,159600
707210,16905,5,6,1350,1,1,2,5,2,308,1935,93,6,NC,Trellis Park,Townhouse,Y,Normal,138100
712822,9180,5,7,840,1,0,2,5,0,504,1930,59,5,CA,Cedar Park,2Story,Y,Normal,211500
906067,9200,5,6,938,1,0,3,5,0,308,1936,68,3,NC,Trellis Park,Ranch,Y,Normal,113400
664154,7945,5,6,1150,1,0,3,6,0,300,1916,77,2,TX,Highpoint,1Story,N,Normal,100000
538489,7658,9,5,1752,2,0,2,6,1,576,1996,63,8,OH,Pembroke,SplitLevel,Y,Normal,244000
877397,12822,7,5,1434,1,1,1,6,1,670,1941,85,3,TX,Lindenwood,2Story,Y,Normal,226200
610609,11096,8,5,1656,2,0,3,7,0,826,1963,80,11,MA,Northfield,2Story,Y,Normal,320500
271101,4456,4,5,736,2,0,2,8,0,0,1940,38,7,OH,Pembroke,Ranch,Y,Normal,77600
310132,7742,5,7,955,1,0,3,6,0,386,1944,67,10,IL,Millbrook,Townhouse,Y,Normal,154200
271124,13869,6,6,794,2,0,3,6,0,388,1946,78,11,WA,Westbrook,SplitLevel,Y,Normal,193700
856700,6240,6,6,816,1,0,3,6,1,528,1961,54,11,OH,Rosewood,Ranch,N,Partial,132300
372981,8472,5,5,816,1,0,2,5,0,516,1944,68,5,WA,Thornbury,1Story,Y,Normal,191300
978275,50271,9,5,1842,0,1,0,5,1,894,1978,167,6,TX,Highpoint,2Story,Y,Normal,409700
228033,7134,5,5,384,1,0,3,6,1,572,1915,55,12,WA,Yorkfield,2Story,Y,Normal,149100
913365,10175,6,5,1425,2,0,3,7,1,576,1956,69,10,IN,Willowbrook,2Story,N,Family,195300
140146,2645,8,5,970,2,1,3,7,0,480,1972,47,7,IN,Underhill,Townhouse,Y,Normal,154000
350220,11645,7,5,860,2,1,3,7,0,565,1974,80,3,TX,Lindenwood,SplitLevel,Y,Normal,193400
314764,13682,10,5,1410,3,1,3,10,1,641,1990,86,4,IN,Summit Park,Townhouse,Y,Normal,321700
871452,7200,5,7,780,1,0,2,4,0,352,1936,45,6,MA,Northfield,SplitLevel,Y,Normal,162700
814411,13072,6,5,1158,1,1,3,5,0,576,1971,70,9,AZ,Birchwood,2Story,Y,Normal,177400
143296,7200,5,7,530,1,0,3,6,0,288,1943,62,6,WA,Thornbury,1Story,Y,Normal,169000
665123,6442,8,5,1370,2,0,2,6,1,484,1947,,8,IL,Inglewood,Ranch,Y,Normal,224300
138307,10300,7,6,576,2,0,3,9,0,480,1966,78,4,NY,Lakeshore,2Story,Y,Normal,397000
247362,9375,7,5,1057,2,1,3,8,0,645,1966,77,7,OH,Overlook,1Story,Y,Partial,251100
410768,9591,8,5,1143,2,1,4,9,1,852,1966,74,7,FL,Prairie View,Townhouse,Y,Normal,252200
153648,19900,7,5,1947,2,0,3,7,1,576,1952,91,9,IL,Larkspur,Ranch,Y,Normal,240800
544549,10665,7,5,1453,2,0,3,7,0,558,1933,71,8,CO,Clearwater,Townhouse,Y,Normal,265200
371728,4608,4,6,747,1,0,2,4,0,220,1920,48,6,NY,Juniper Hill,Loft,N,Abnorml,138700
173332,15593,7,4,1304,2,0,3,7,1,667,1965,89,10,NC,Xavier Park,Townhouse,Y,Partial,272500
744684,13651,7,6,2223,2,0,3,8,2,516,1947,74,4,MA,Silverlake,Loft,Y,Partial,486500
848806,7599,4,6,845,1,0,2,4,0,360,1921,68,3,TX,Lindenwood,2Story,Y,Normal,119100
496078,10141,7,5,832,2,1,3,7,1,427,1944,63,12,CO,Clearwater,SplitLevel,Y,Normal,280700
815357,10200,5,7,1086,1,0,3,6,0,490,1924,69,1,TX,Highpoint,Ranch,Y,Partial,143800
710061,5790,3,6,840,2,0,3,8,0,379,1936,65,10,NY,Kingsport,Ranch,Y,Normal,217100
243874,1596,4,5,462,1,0,2,5,0,297,1926,21,6,AZ,Amberton,SplitLevel,Y,Normal,68300
936428,8475,4,7,952,1,0,2,4,0,283,1930,71,2,CA,Brookhaven,Townhouse,Y,Partial,171600
479633,8635,5,5,672,1,0,2,6,0,240,1951,56,11,AZ,Edgewater,1Story,Y,Normal,102000
212762,10778,4,5,1768,2,0,4,8,0,0,1935,72,8,FL,Stonegate,1Story,Y,Normal,140900
982439,10440,5,6,440,1,1,2,5,0,440,1950,86,10,FL,Stonegate,SplitLevel,N,Normal,108100
782188,13000,6,6,896,2,1,4,8,1,509,1936,95,11,CA,Elmwood,SplitLevel,Y,Normal,308800
202585,4500,6,5,1237,2,0,2,5,0,405,1919,47,8,TX,Highpoint,Ranch,Y,Normal,132200
271180,10206,8,5,1563,2,0,3,6,1,758,1957,63,4,OH,Overlook,SplitLevel,Y,Normal,282800
441262,8892,5,5,1065,1,1,3,6,0,461,1941,60,5,CA,Elmwood,Townhouse,Y,Normal,206600
147964,8530,7,5,384,2,1,3,7,1,400,1966,59,3,NY,Ironbridge,Townhouse,Y,Normal,248000
119987,16059,8,5,1288,2,1,4,9,1,462,1966,77,10,NC,Wheatfield,Ranch,Y,Partial,270900
447451,11911,6,5,684,2,1,3,6,1,400,1953,76,7,MA,Pinecrest,1Story,Y,Partial,237500
897774,3951,6,5,612,2,1,2,4,0,528,1931,49,10,OH,Pembroke,2Story,Y,Abnorml,108000
319954,8470,3,2,1013,1,0,2,6,0,0,1932,63,7,CO,Belmont,Ranch,Y,Normal,93500
682003,8070,4,5,990,1,0,3,5,0,0,1905,61,12,CO,Glenmoor,Townhouse,N,Normal,114300
879857,7200,4,5,0,1,0,2,4,0,420,1918,62,6,NY,Ironbridge,Ranch,Y,Normal,121000
334925,8500,5,3,1235,1,0,2,6,0,480,1948,77,5,IN,Willowbrook,SplitLevel,Y,Alloca,112800
822656,13360,5,7,876,1,0,2,5,0,432,1925,74,5,MA,Riverton,2Story,Y,Abnorml,163600
705022,7200,6,6,1214,2,0,4,9,1,506,1965,67,8,CA,Brookhaven,Townhouse,Y,Normal,263000
666326,9337,6,5,824,2,1,3,7,0,684,1952,71,6,WA,Thornbury,SplitLevel,Y,Normal,293000
454836,9765,6,8,680,2,1,3,6,1,420,1961,68,4,AZ,Copper Ridge,Ranch,N,Abnorml,154400
543716,10264,7,5,1588,2,0,3,6,0,472,1936,65,9,CA,Greenfield,2Story,N,Abnorml,329500
243603,10921,4,5,960,1,0,3,6,0,432,1914,70,5,IN,Zephyr Cove,2Story,Y,Normal,102400
931880,10625,5,5,458,1,0,2,5,0,366,1942,71,8,MA,Silverlake,1Story,N,Normal,172100
613658,9320,4,5,950,1,1,3,6,0,0,1943,60,5,IL,Inglewood,1Story,Y,Normal,148200
115867,10603,6,7,1610,2,0,3,6,2,480,1935,73,11,NY,Harborview,1Story,Y,Normal,336800
142776,9206,6,5,741,2,1,3,7,1,476,1942,70,8,NC,Upland,SplitLevel,Y,Normal,252600
