listing_id,tiene_cochera,m2,banos,ingreso_zona,estado,tipo_vivienda,barrio,codigo_postal,mes_venta,anio_alta,precio,precio_solo_cochera,precio_solo_m2_banos,precio_solo_ingreso,precio_solo_estado,precio_solo_tipo,precio_solo_barrio,precio_solo_cp,precio_solo_mes,precio_solo_antiguedad,precio_solo_id
271195,False,102,2,113736,muy bueno,departamento,barrio_27,1017,7,1981,352432,60254,269627,156050,100904,61126,67256,59781,54313,44923,58585
916831,False,35,1,17201,excelente,duplex,barrio_15,1022,7,1950,278612,58023,131207,143861,181435,75615,42023,59709,59926,35658,61628
951972,False,162,1,31383,muy bueno,casa,barrio_45,1018,8,1971,482470,61917,358569,144886,98738,75284,66539,64971,53390,41491,59109
199237,False,45,1,59884,muy bueno,duplex,barrio_58,1012,10,1979,228560,65380,151687,149646,112251,78230,30871,49000,55028,48004,63294
538038,True,110,3,18842,muy bueno,casa,barrio_15,1012,7,2019,413319,77061,285589,142391,98138,74550,40200,50162,53295,58611,60242
911684,True,109,2,129803,excelente,casa,barrio_46,1036,11,2008,537801,85646,278133,155391,177144,86611,78774,51062,44680,56125,56253
434757,False,105,2,38584,bueno,PH,barrio_15,1027,4,1960,319547,62273,271727,142361,73013,46840,33614,62285,66088,41547,61182
193715,False,78,2,52506,bueno,duplex,barrio_43,1003,10,1950,340161,57099,217031,154127,79147,66525,64419,58570,44948,38519,61998
906654,True,124,1,29317,bueno,PH,barrio_47,1038,5,1987,394973,68102,295289,141390,68391,51587,62663,68380,68857,53779,73301
361650,True,40,2,61511,bueno,casa,barrio_26,1028,8,1987,291316,74596,155415,150476,72278,81458,77414,64834,44872,47358,57509
897130,True,93,2,128417,bueno,casa,barrio_44,1002,6,2002,354103,75135,258382,152510,74123,80811,60175,55499,53738,51995,59063
443758,True,75,3,32695,muy bueno,departamento,barrio_16,1029,11,1968,366700,74785,226803,143681,99989,66034,70143,67432,55816,41307,59859
877856,True,71,1,144896,regular,departamento,barrio_04,1023,4,2007,265331,79269,198076,150053,57765,68598,6918,55409,67561,52641,61299
645714,True,110,3,22264,excelente,duplex,barrio_05,1036,7,1979,451500,77990,296247,141057,179784,62075,29606,44584,54847,51123,60279
